City,Min Price,Max Price,Common Price
Cities,#N/A,#N/A,#N/A
Caloocan City,55.05,55.05,#N/A
Caloocan City,55.15,58.40,#N/A
Caloocan City,46.55,57.08,55.65
Caloocan City,46.15,56.23,53.93
Caloocan City,39.80,45.69,44.10
Caloocan City,43.85,46.60,#N/A
Caloocan City,46.57,48.53,#N/A
Quezon City,49.10,57.94,#N/A
Quezon City,50.96,60.27,#N/A
Quezon City,45.60,56.89,55.94
Quezon City,44.86,58.35,50.25
Quezon City,40.70,46.47,40.70
Quezon City,42.70,47.78,45.15
Quezon City,46.91,54.30,#N/A
Manila,54.25,57.56,#N/A
Manila,51.42,54.95,54.95
Manila,51.50,57.35,51.50
Manila,46.15,56.41,51.50
Manila,39.95,47.56,44.70
Manila,45.15,48.15,45.15
Manila,47.03,50.56,#N/A
Pasig City,54.50,57.64,#N/A
Pasig City,50.75,50.75,#N/A
Pasig City,47.75,55.14,52.50
Pasig City,46.75,54.21,51.80
Pasig City,40.40,45.04,42.25
Pasig City,42.85,47.04,44.25
Pasig City,48.11,48.11,#N/A
Taguig Cty,56.89,57.14,#N/A
Taguig Cty,56.54,58.29,#N/A
Taguig Cty,50.95,58.06,#N/A
Taguig Cty,49.95,56.08,#N/A
Taguig Cty,40.80,48.12,#N/A
Taguig Cty,45.78,46.74,#N/A
Taguig Cty,52.75,53.51,#N/A
