City,Product,Min Price,Max Price,Common Price
#N/A,#N/A,OVERALL UNGE,OVERALL UNGE,PRICE
Cabocan City,#N/A,#N/A,#N/A,#N/A
Cabocan City,#N/A,67.84,67.84,#N/A
Cabocan City,#N/A,#N/A,#N/A,6615
Cabocan City,#N/A,#N/A,#N/A,65.25
Cabocan City,#N/A,53.75,53.75,5215
Cabocan City,#N/A,55.49,55.49,SWA
Cabocan City,#N/A,"55,62","55,62",#N/A
Quezon City,#N/A,65.95,65.95,6220
Quezon City,#N/A,67.25,67.25,56.20
Quezon City,#N/A,66.35,66.35,58.70
Quezon City,#N/A,65.35,65.35,57.70
Quezon City,#N/A,53.30,53.30,50.90
Quezon City,#N/A,54.79,54.79,52.90
Quezon City,#N/A,56.62,56.62,#N/A
Manila,#N/A,#N/A,#N/A,#N/A
Manila,#N/A,69.40,69.40,#N/A
Manila,#N/A,6780,6780,60.40
Manila,#N/A,#N/A,#N/A,6355
Manila,#N/A,#N/A,#N/A,46.30
Manila,#N/A,"57.50
59.50","57.50
59.50",'WA
pasig City,#N/A,71.85,71.85,#N/A
pasig City,#N/A,7215,7215,#N/A
pasig City,#N/A,70.15,70.15,61.50
pasig City,#N/A,69.15,69.15,n70
pasig City,#N/A,54.75,54.75,50.35
pasig City,#N/A,"57.35
58.52","57.35
58.52",#N/A
Cty,#N/A,70.88,70.88,70.8B
Cty,#N/A,#N/A,#N/A,#N/A
Cty,#N/A,70.68,70.68,68.88
Cty,#N/A,69.68,69.68,"67,88"
Cty,#N/A,55.67,55.67,54.64
Cty,#N/A,58.27,58.27,56.64
Cty,#N/A,63.34,63.34,61.25
#N/A,#N/A,OVERALL UNGE,OVERALL UNGE,COMMON PRICE
City,City,64.5070.60,64.5070.60,70.60
City,City,67.40,71.60,#N/A
City,City,#N/A,6935,"68,60"
City,City,61.50,67.85,67.60
City,City,50.70,5469,#N/A
City,City,#N/A,57.20,#N/A
City,City,57+93,57.93,#N/A
Parahaque City,Parahaque City,6423,68.91,#N/A
Parahaque City,Parahaque City,#N/A,#N/A,#N/A
Parahaque City,Parahaque City,6113,71.07,#N/A
Parahaque City,Parahaque City,60.73,70.22,61.23
Parahaque City,Parahaque City,50.59,54.80,50.95
Parahaque City,Parahaque City,52.95,57.62,#N/A
Parahaque City,Parahaque City,#N/A,56.66,#N/A
Nontinlupa City,Nontinlupa City,63.05,#N/A,#N/A
Nontinlupa City,Nontinlupa City,65.15,7275,#N/A
Nontinlupa City,Nontinlupa City,61.05,#N/A,"70,40"
Nontinlupa City,Nontinlupa City,60.25,70.65,69.40
Nontinlupa City,Nontinlupa City,49.75,59.80,49u
Nontinlupa City,Nontinlupa City,5270,#N/A,IWA
Pasay,Pasay,#N/A,#N/A,#N/A
Pasay,Pasay,#N/A,70.24,'WA
Pasay,Pasay,58.60,72.24,#N/A
Pasay,Pasay,57.10,71.49,6205
Pasay,Pasay,47.18,55.67,#N/A
Pasay,Pasay,54.79,58.08,#N/A
